577,2
565,1
572,4
567,3
582,4
587,3
592,1
596,2
601,1
606,1
615,4
620,4
621,4
623,1
624,4
630,4
634,4
639,3
644,1
649,2
654,3
659,4
664,4
787,3
751,3
757,4
762,2
772,4
767,4
777,4
792,3
797,4
802,4
807,4
812,4
817,1
820,3
825,4
830,1
835,3
845,3
850,4
855,4
861,2
866,4
566,1
568,2
573,4
578,4
583,1
588,4
593,1
597,2
602,1
607,1
616,4
622,3
631,1
635,2
640,3
645,1
650,3
655,4
660,3
665,4
752,2
758,4
763,1
768,4
773,1
778,4
782,3
783,3
788,4
793,2
798,4
803,4
808,3
813,4
818,2
821,2
826,4
831,1
836,3
841,3
846,1
851,3
856,3
862,2
867,3
574,3
569,2
579,3
584,2
589,2
594,1
598,1
603,3
608,1
618,3
625,2
626,3
629,1
636,1
641,3
646,1
651,2
656,2
661,3
666,2
753,3
759,4
764,1
769,2
774,1
779,4
784,2
789,3
794,1
799,3
809,4
814,4
827,1
837,3
842,3
847,1
852,3
858,2
863,1
868,3
575,3
570,1
585,2
590,3
600,1
605,2
610,1
617,3
632,2
637,2
642,4
647,1
652,2
657,2
662,3
667,3
754,3
755,3
760,4
765,1
770,3
775,1
780,4
785,2
790,3
795,3
800,4
805,3
810,2
815,3
823,2
828,3
833,1
838,2
843,3
848,1
853,2
859,1
864,1
869,2
576,4
571,1
581,1
586,2
591,1
595,1
599,1
604,2
609,1
619,3
633,1
638,2
643,4
648,2
653,2
658,2
663,3
668,3
756,2
761,2
766,1
771,2
776,1
781,4
786,1
791,4
796,2
801,3
811,2
824,1
829,2
834,1
839,3
844,4
849,1
854,2
860,2
865,1
870,2
