49,4
53,3
54,4
60,3
61,1
97,1
98,4
103,4
105,4
109,4
119,4
121,2
122,3
127,4
128,4
129,4
152,3
193,3
194,3
211,4
212,4
213,4
218,4
223,4
395,2
432,4
443,1
451,4
452,4
544,4
627,2
697,4
698,3
685,4
691,3
705,4
716,4
721,4
722,4
727,4
732,2
737,4
747,4
872,4
874,4
875,4
876,4
877,4
878,3
879,3
880,4
115,4
401,2
438,2
439,1
696,1
690,2
704,1
712,3
713,4
714,3
720,2
726,3
731,3
736,2
742,2
114,4
400,2
437,1
695,1
689,2
703,2
710,3
711,4
719,2
725,3
730,3
735,2
740,3
741,4
112,3
217,4
221,4
226,2
398,2
435,1
701,3
687,2
688,4
702,3
694,2
708,3
709,3
718,3
724,4
729,4
734,2
739,4
749,4
50,3
92,1
93,1
94,3
95,2
96,3
107,2
111,4
131,3
216,4
220,4
225,2
397,2
429,2
434,4
628,4
699,3
700,3
686,4
692,3
693,3
706,4
707,4
717,4
723,4
728,4
733,2
738,4
748,3
881,2
882,1
883,4
